categroy,people,datetime,name,address
市场类,1,2018-04-27,OMG08-媒介经理（北京）,北京
产品/项目类,1,2018-04-27,18402-RPG/FPS品类手游运营负责人（深圳）,深圳
技术类,1,2018-04-27,25923-游戏高级技术运营工程师（成都）,成都
内容编辑类,1,2018-04-27,17757-香港新闻编辑（香港）,香港
技术类,2,2018-04-27,SNG16-腾讯音乐Android开发工程师（北京）,北京
技术类,2,2018-04-27,SNG16-腾讯音乐后台开发工程师（北京）,北京
产品/项目类,2,2018-04-27,18302-新动作手游高级商业化运营（深圳）,深圳
技术类,1,2018-04-27,23674-新闻图像视频算法高级工程师（北京）,北京
产品/项目类,1,2018-04-27,18402-移动游戏数据分析（深圳）,深圳
产品/项目类,1,2018-04-27,18402-休闲类手游运营负责人（深圳）,深圳
内容编辑类,1,2018-04-27,22850-腾讯视频VIP综合排播管理,北京
市场类,2,2018-04-27,23872-游戏市场商业分析（深圳）,深圳
市场类,1,2018-04-27,OMG192-策划经理,上海
技术类,1,2018-04-27,18425-信用卡还款开发工程师（深圳）,深圳
技术类,4,2018-04-27,SNG11-主机安全后台开发工程师（深圳）,深圳
产品/项目类,1,2018-04-27,SD3-微信小游戏合作研发PM（深圳）,深圳
产品/项目类,1,2018-04-27,GY0-WeChat Payment Product Operation Manager(Malaysia),马来西亚
产品/项目类,1,2018-04-27,WXG06-211 微信支付物料供应链运营（深圳）,深圳
技术类,2,2018-04-27,19116-后台开发高级工程师（深圳）,深圳
产品/项目类,2,2018-04-27,SA-腾讯社交广告QQ广告商业化产品经理（深圳）,深圳
设计类,1,2018-04-27,SNG10-动漫UI开发工程师（深圳）,深圳
设计类,1,2018-04-27,SNG10-动漫视觉设计师（深圳）,深圳
产品/项目类,2,2018-04-27,SNG02-腾讯云教育行业高级产品经理（深圳）,深圳
职能类,1,2018-04-27,S2-OMG财务管理（北京）,北京
产品/项目类,1,2018-04-27,SNG06-企鹅电竞海外产品策划经理（深圳）,深圳
